#######################################################
# GRB	    OPENING					VIEWING / OPENING
#######################################################
GRB080430	.0553 +.0052 -.0079	0.587 +0.060 -0.067
GRB080605	0.355 +0.090 -0.100	0.50 +0.18 -0.25000
GRB080607	0.26 +0.16 -0.14	0.54 +0.30 -0.33000
GRB080707	0.30 +0.14 -0.15	0.44 +0.35 -0.30000
GRB080710	0.244 +0.092 -0.130	0.20 +0.15 -0.12000
GRB080721	.1117 +.0109 -.0083	0.731 +0.025 -0.021
GRB080804	0.297 +0.122 -0.093	0.68 +0.12 -0.17000
GRB080805	0.31 +0.13 -0.14	0.39 +0.30 -0.27000
GRB080810	0.34 +0.11 -0.27	0.41 +0.28 -0.33000
GRB080905A	0.27 +0.15 -0.15	0.49 +0.36 -0.34000
GRB080905B	0.161 +0.179 -0.050	0.58 +0.22 -0.43000
GRB080913	0.359 +0.099 -0.125	0.40 +0.42 -0.28000
GRB080916A	0.156 +0.222 -0.086	0.78 +0.13 -0.28000
GRB080928	0.25 +0.16 -0.17	0.62 +0.26 -0.33000
GRB081007	0.159 +0.183 -0.066	0.76 +0.13 -0.19000
GRB081008	.0610 +.0092 -.0089	0.34 +0.10 -0.14000
# Page 14 https://arxiv.org/pdf/1405.5516
GRB081028	0.3000 +0.1300 -0.1500	0.53 +0.32 -0.36
GRB081029	0.1615 +0.0055 -0.0061	0.031 +0.034 -0.022
GRB081121	0.2810 +0.1430 -0.0920	0.760 +0.096 -0.351
GRB081203A	0.1500 +0.0340 -0.0720	0.411 +0.056 -0.065
GRB081221	0.3430 +0.1080 -0.0940	0.33 +0.22 -0.22
GRB081222	0.0844 +0.0081 -0.0120	0.275 +0.099 -0.114
GRB090102	0.382 +0.082 -0.098000	0.75 +0.13 -0.53
GRB090205	0.0511 +0.0079 -0.0045	0.21 +0.12 -0.13
GRB090313	0.127 +0.143 -0.040000	0.15 +0.39 -0.11
GRB090323	0.310 +0.130 -0.150000	0.53 +0.32 -0.37
GRB090328A	0.310 +0.130 -0.160000	0.56 +0.29 -0.36
GRB090418A	0.0686 +0.4036 -0.0048	0.314 +0.067 -0.115
GRB090423	0.260 +0.1600 -0.14000	0.51 +0.32 -0.35
GRB090424	0.215 +0.017 -0.014000	0.761 +0.018 -0.020
GRB090426	0.310 +0.1300 -0.14000	0.48 +0.32 -0.33
GRB090510	0.3870 +0.080 -0.10600	0.57 +0.22 -0.39
GRB090516	0.0655 +0.0035 -0.0047	0.320 +0.039 -0.039
GRB090519	0.270 +0.150 -0.160000	0.54 +0.37 -0.37
GRB090529	0.477 +0.017 -0.029000	0.141 +0.139 -0.098
GRB090618	0.0590 +0.0025 -0.0026	0.758 +0.011 -0.012
GRB090709A	0.279 +0.126 -0.084000	0.72 +0.10 -0.28
GRB090715B	0.310 +0.120 -0.120000	0.50 +0.24 -0.23
GRB090726	0.170 +0.195 -0.084000	0.44 +0.39 -0.32
GRB090809	0.310 +0.120 -0.110000	0.49 +0.18 -0.21
GRB090812	0.290 +0.150 -0.130000	0.69 +0.20 -0.44
GRB090902B	0.320 +0.130 -0.160000	0.58 +0.27 -0.39
GRB090926A	0.320 +0.130 -0.160000	0.61 +0.26 -0.40
GRB090926B	0.350 +0.110 -0.120000	0.39 +0.37 -0.27
GRB090927	0.448 +0.038 -0.131000	0.59 +0.11 -0.16
GRB091003	0.310 +0.130 -0.170000	0.58 +0.28 -0.39
GRB091018	0.300 +0.140 -0.150000	0.57 +0.29 -0.38
GRB091020	0.280 +0.150 -0.130000	0.65 +0.19 -0.39
GRB091024	0.310 +0.130 -0.150000	0.50 +0.36 -0.34
GRB091029	0.133 +0.252 -0.038000	0.73 +0.15 -0.21
GRB091109A	0.221 +0.161 -0.068000	0.44 +0.26 -0.28
GRB091127	0.151 +0.193 -0.071000	0.905 +0.049 -0.078
GRB091208B	0.0952 +0.0098 -0.0127	0.19 +0.25 -0.13
GRB100117A	0.280 +0.150 -0.160000	0.51 +0.34 -0.35
GRB100219A	0.0481 +0.0052 -0.0024	0.064 +0.072 -0.045
GRB100302A	0.190 +0.200 -0.130000	0.37 +0.31 -0.25
GRB100316B	0.151 +0.226 -0.090000	0.79 +0.14 -0.34
GRB100418A	0.240 +0.160 -0.110000	0.20 +0.41 -0.15
GRB100424A	0.0552 +0.0852 -0.0081	0.54 +0.21 -0.28
GRB100425A	0.160 +0.220 -0.100000	0.45 +0.29 -0.31
GRB100513A	0.280 +0.150 -0.150000	0.45 +0.32 -0.31
GRB100615A	0.280 +0.150 -0.170000	0.48 +0.34 -0.34
GRB100621A	0.0477 +0.0047 -0.0020	0.583 +0.049 -0.047
GRB100724A	0.280 +0.150 -0.150000	0.51 +0.31 -0.34
GRB100728A	0.112 +0.052 -0.011000	0.722 +0.119 -0.062
GRB100728B	0.300 +0.120 -0.190000	0.56 +0.11 -0.18
GRB100816A	0.290 +0.140 -0.150000	0.45 +0.33 -0.31
GRB100901A	0.413 +0.033 -0.033000	0.473 +0.032 -0.031
GRB100906A	0.0540 +0.0038 -0.0079	0.307 +0.031 -0.030
# Page 15 https://arxiv.org/pdf/1405.5516
GRB101219A	0.2900 +0.14 -0.1400	0.49 +0.34 -0.34
GRB110128A	0.4690 +0.023 -0.047	0.15 +0.19 -0.11
GRB110205A	0.3880 +0.077 -0.145	0.69 +0.25 -0.54
GRB110213A	0.2900 +0.14 -0.1500	0.53 +0.31 -0.37
GRB110422A	0.0733 +0.0111 -0.0098	0.676 +0.035 -0.050
GRB110503A	0.4020 +0.055 -0.284	0.734 +0.056 -0.195
GRB110715A	0.3400 +0.11 -0.1800	0.39 +0.34 -0.27
GRB110731A	0.1840 +0.052 -0.035	0.716 +0.110 -0.065
GRB110801A	0.4190 +0.056 -0.075	0.50 +0.13 -0.16
GRB110808A	0.1900 +0.19 -0.1300	0.33 +0.31 -0.23
GRB110818A	0.2300 +0.16 -0.1500	0.63 +0.24 -0.31
GRB111008A	.04612 +.00259 -.00085	0.721 +0.027 -0.027
GRB111107A	0.2800 +0.15 -0.1500	0.43 +0.35 -0.29
GRB111209A	0.3400 +0.11 -0.1300	0.61 +0.28 -0.40
GRB111228A	.04591 +.00177 -.00070	0.754 +0.017 -0.021
GRB111229A	0.2500 +0.17 -0.1500	0.52 +0.33 -0.36
GRB120118B	0.2900 +0.14 -0.1500	0.44 +0.34 -0.30
GRB120119A	0.0510 +0.0481 -0.0046	0.36 +0.17 -0.24
GRB120327A	0.4120 +0.060 -0.088	0.29 +0.31 -0.20
GRB120404A	0.2800 +0.15 -0.1500	0.49 +0.35 -0.34
GRB120422A	0.2000 +0.20 -0.1400	0.43 +0.31 -0.28
GRB120711A	0.2500 +0.16 -0.1100	0.65 +0.19 -0.40
GRB120712A	0.3010 +0.125 -0.099	0.878 +0.039 -0.069
GRB120802A	0.2100 +0.18 -0.1500	0.55 +0.28 -0.38
GRB120811C	0.2300 +0.18 -0.1400	0.65 +0.27 -0.44
GRB120815A	0.3200 +0.13 -0.1600	0.41 +0.34 -0.29
GRB120907A	0.1170 +0.0098 -0.0073	0.292 +0.096 -0.104
GRB120909A	0.2200 +0.18 -0.1300	0.69 +0.21 -0.35
GRB121024A	0.0565 +0.0179 -0.0080	0.35 +0.24 -0.22
GRB121027A	0.0580 +0.076 -0.011	0.61 +0.21 -0.10
GRB121128A	0.2700 +0.15 -0.1400	0.51 +0.31 -0.35
GRB121201A	0.3640 +0.098 -0.106	0.39 +0.48 -0.27
GRB121211A	0.3000 +0.15 -0.2200	0.61 +0.27 -0.32
GRB121229A	0.2800 +0.15 -0.1500	0.53 +0.35 -0.36
