Title: Observations of the Naked-Eye GRB 080319B: Implications of Nature's 
       Brightest Explosion  
Authors: Bloom J.S., Perley D.A., Li W., Butler N.R., Miller A.A., Kocevski D.,
         Kann D.A., Foley R.J., Chen H.-W., Filippenko A.V., Starr D.L., 
         Macomber .B., Prochaska J.X., Chornock R., Poznanski D., Klose S., 
         Skrutskie M.F., Lopez S., Hall P., Glazebrook K., Blake C.H. 
Table: KAIT Observations of GRB 080319B
================================================================================
Byte-by-byte Description of file: apj292633t4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  7 F7.1   s       Tmid   Exposure mid-time (1)
   9- 13 A5     ---     Filt   Filter used in observation
  15- 19 F5.1   s       Exp    Exposure time  
  21- 26 F6.3   mag     mag    Observed magnitude in Filt (2)
  28- 32 F5.3   mag   e_mag    Uncertainty in mag
  34- 39 F6.1   uJy     Flux   Observed flux density in Filt (2)
  41- 45 F5.1   uJy   e_Flux   Uncertainty in Flux 
--------------------------------------------------------------------------------
Note (1): Measured from the Swift trigger (UTC 06:12:49).
Note (2): Not corrected for Galactic extinction.
--------------------------------------------------------------------------------
 6569.0 V      80.0 17.111 0.060  528.0  28.4 
 6973.0 V      80.0 17.144 0.068  512.2  31.1 
 8134.0 V     300.0 17.453 0.057  385.3  19.7 
 9335.0 V     300.0 17.629 0.069  327.6  20.2 
10580.0 V     300.0 17.776 0.019  286.2   5.0 
11785.0 V     300.0 17.958 0.031  242.0   6.8 
14852.0 V     300.0 18.223 0.029  189.6   5.0 
16051.0 V     300.0 18.370 0.038  165.6   5.7 
 1188.0 I      20.0 13.777 0.013 7502.4  89.3 
 1279.0 I      20.0 13.879 0.012 6829.7  75.1 
 1370.0 I      20.0 14.016 0.015 6020.0  82.6 
 1465.0 I      20.0 14.176 0.020 5195.2  94.8 
 1557.0 I      20.0 14.328 0.018 4516.5  74.3 
 1621.0 I      20.0 14.381 0.021 4301.3  82.4 
 1680.0 I      20.0 14.516 0.015 3798.4  52.1 
 1744.0 I      20.0 14.572 0.028 3607.4  91.8 
 1803.0 I      20.0 14.616 0.016 3464.2  50.7 
 1862.0 I      20.0 14.686 0.021 3247.9  62.2 
 1912.0 I      20.0 14.778 0.025 2984.0  67.9 
 1972.0 I      20.0 14.807 0.025 2905.4  66.1 
 2031.0 I      20.0 14.836 0.026 2828.8  66.9 
 2158.0 I      20.0 14.958 0.021 2528.1  48.4 
 2331.0 I      40.0 15.060 0.022 2301.4  46.2 
 2575.5 I      40.0 15.174 0.023 2072.0  43.4 
 2821.0 I      40.0 15.334 0.020 1788.1  32.6 
 3065.5 I      40.0 15.439 0.022 1623.3  32.6 
 3311.5 I      40.0 15.565 0.035 1445.4  45.9 
 3555.5 I      40.0 15.700 0.031 1276.4  35.9 
 3800.5 I      40.0 15.700 0.043 1276.4  49.6 
 4046.5 I      40.0 15.788 0.031 1177.1  33.1 
 4259.5 I      40.0 15.902 0.042 1059.7  40.2 
 4379.5 I      40.0 15.892 0.043 1069.5  41.5 
 4527.3 I      60.0 15.986 0.024  980.8  21.4 
 5002.5 I      80.0 16.170 0.028  827.9  21.1 
 5255.0 I      80.0 16.221 0.025  789.9  18.0 
 5662.0 I      80.0 16.296 0.024  737.2  16.1 
 6065.0 I      80.0 16.385 0.036  679.2  22.2 
 6469.0 I      80.0 16.507 0.033  607.0  18.2 
 6873.0 I      80.0 16.495 0.030  613.8  16.7 
 8479.0 I     300.0 16.841 0.017  446.3   6.9 
 9680.0 I     300.0 17.017 0.030  379.5  10.3 
10924.0 I     300.0 17.204 0.019  319.4   5.5 
12129.0 I     300.0 17.342 0.023  281.3   5.9 
15195.0 I     300.0 17.648 0.022  212.2   4.3 
16402.0 I     300.0 17.750 0.099  193.2  16.8 
