Title: Observations of the Naked-Eye GRB 080319B: Implications of Nature's 
       Brightest Explosion  
Authors: Bloom J.S., Perley D.A., Li W., Butler N.R., Miller A.A., Kocevski D.,
         Kann D.A., Foley R.J., Chen H.-W., Filippenko A.V., Starr D.L., 
         Macomber .B., Prochaska J.X., Chornock R., Poznanski D., Klose S., 
         Skrutskie M.F., Lopez S., Hall P., Glazebrook K., Blake C.H. 
Table: PAIRITEL Observations of GRB 080319B
================================================================================
Byte-by-byte Description of file: apj292633t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  7 F7.1   s       Tmid   Exposure mid-time (1)
   9- 12 A4     ---     Filt   Filter used in observation
  14- 19 F6.1   s       Exp    Exposure time  
  21- 26 F6.3   mag     mag    Observed magnitude in Filt (2)
  28- 32 F5.3   mag   e_mag    Uncertainty in mag
  34- 41 F8.1   uJy     Flux   Observed flux density in Filt (2)
  43- 48 F6.1   uJy   e_Flux   Uncertainty in Flux 
  50- 50 A1     ---     Flag   [X] Indicates data not used in modeling
--------------------------------------------------------------------------------
Note (1): Measured from the Swift trigger (UTC 06:12:49).
Note (2): Not corrected for Galactic extinction.
--------------------------------------------------------------------------------
 1765.0 J      23.5 13.911 0.036   4341.9  140.2  
 1801.5 J      23.5 14.011 0.036   3959.5  128.9  
 1837.5 J      23.5 14.115 0.037   3598.5  120.7  
 1873.5 J      23.5 14.069 0.036   3752.5  122.5  
 1910.0 J      23.5 14.084 0.036   3701.0  120.7  
 1964.0 J      47.1 14.171 0.036   3417.3  110.9  
 2036.5 J      47.1 14.214 0.036   3282.8  106.5  
 2109.0 J      47.1 14.254 0.035   3165.2  101.8  
 2181.5 J      47.1 14.377 0.036   2827.2   92.3  
 2254.0 J      47.1 14.330 0.037   2951.8   97.6  
 2326.0 J      47.1 14.457 0.037   2625.7   86.9  
 2399.5 J      47.1 14.510 0.037   2500.3   83.2  
 2472.0 J      47.1 14.536 0.037   2441.0   81.4  
 2544.5 J      47.1 14.568 0.037   2369.2   78.4  
 2616.5 J      47.1 14.628 0.037   2242.0   74.8  
 2689.0 J      47.1 14.670 0.037   2156.8   72.8  
 2761.5 J      47.1 14.748 0.037   2008.7   68.0  
 2834.0 J      47.1 14.781 0.037   1947.5   65.8  
 2906.5 J      47.1 14.850 0.038   1827.9   62.7  
 2978.5 J      47.1 14.883 0.038   1773.7   61.2  
 3051.0 J      47.1 14.832 0.038   1858.3   63.9  
 3123.5 J      47.1 14.894 0.038   1756.0   61.1  
 3195.5 J      47.1 15.008 0.039   1579.9   55.1  
 3268.5 J      47.1 14.987 0.038   1611.7   56.1  
 3340.5 J      47.1 14.922 0.039   1710.8   60.1  
 3414.0 J      47.1 15.068 0.039   1495.4   53.1  
 3486.5 J      47.1 15.072 0.039   1489.9   52.4  
 3559.0 J      47.1 15.005 0.038   1585.5   55.1  
 3632.0 J      47.1 15.174 0.040   1356.7   48.8  
 3686.5 J      23.5 15.098 0.039   1455.2   51.7  
 3892.5 J     227.6 15.265 0.038   1247.7   42.5  
 4251.0 J     235.4 15.369 0.038   1133.2   39.1  
 4613.0 J     235.4 15.501 0.039   1003.6   35.3  
 4975.5 J     235.4 15.586 0.039    928.3   32.7  
 5338.5 J     235.4 15.748 0.041    799.2   29.3  
 5703.0 J     235.4 15.774 0.041    780.9   29.0  
 6068.5 J     235.4 15.870 0.043    714.8   27.6  
 6431.5 J     235.4 15.811 0.041    754.2   28.0  
 6860.0 J     313.9 16.019 0.042    622.9   23.7  
 7613.0 J     353.2 16.139 0.042    557.5   21.3  
 8248.0 J     470.9 16.236 0.042    509.9   19.5  
 8973.0 J     470.9 16.475 0.045    409.4   16.7  
 9698.5 J     470.9 16.469 0.051    411.4   19.0  
10424.0 J     470.9 16.649 0.047    348.7   14.8  
11738.5 J    1169.3 16.832 0.047    294.6   12.5  
13521.5 J    1138.0 16.962 0.049    261.2   11.5  
15328.5 J    1169.3 17.014 0.049    249.2   11.1  
17109.5 J    1138.0 17.307 0.057    190.3    9.7  
19132.5 J    1412.6 17.505 0.059    158.5    8.4  
21321.0 J    1294.9 17.528 0.060    155.2    8.4  
  344.0 H       7.8  9.639 0.042 142696.2 5421.2  
  352.3 H       7.8  9.721 0.042 132364.7 5029.4  
  360.2 H       7.8  9.753 0.042 128513.3 4883.6  
  380.1 H       7.8  9.946 0.042 107582.1 4088.8  
  388.4 H       7.8  9.985 0.042 103750.1 3944.2  
  396.3 H       7.8 10.115 0.042  92078.9 3501.5  
  416.3 H       7.8 10.127 0.042  91066.8 3464.2  
  424.5 H       7.8 10.177 0.042  86920.1 3306.4  
  432.4 H       7.8 10.245 0.042  81665.8 3107.6  
  452.4 H       7.8 10.288 0.042  78465.8 2985.3  
  460.7 H       7.8 10.352 0.042  73981.1 2815.2  
  468.6 H       7.8 10.396 0.042  71062.5 2704.6  
  488.6 H       7.8 10.545 0.042  61944.1 2359.9  
  496.9 H       7.8 10.534 0.042  62551.9 2383.6  
  504.8 H       7.8 10.607 0.042  58516.7 2230.2  
  525.8 H       7.8 10.794 0.042  49244.8 1878.6  
  534.1 H       7.8 10.822 0.042  47991.1 1832.7  
  542.0 H       7.8 10.863 0.042  46221.1 1765.0  
  561.9 H       7.8 10.892 0.042  45002.9 1718.1  
  570.2 H       7.8 10.847 0.042  46885.7 1790.4  
  578.2 H       7.8 10.914 0.042  44108.3 1684.4  
  598.2 H       7.8 10.981 0.042  41476.3 1586.0  
  606.4 H       7.8 11.009 0.042  40383.2 1545.1  
  614.4 H       7.8 11.032 0.042  39540.3 1514.3  
  634.4 H       7.8 11.073 0.042  38096.1 1457.2  
  642.7 H       7.8 11.144 0.042  35684.6 1367.9  
  650.6 H       7.8 11.145 0.042  35632.0 1364.2  
  670.6 H       7.8 11.202 0.042  33825.2 1295.1  
  678.9 H       7.8 11.309 0.043  30656.3 1177.7  
  686.8 H       7.8 11.319 0.043  30352.9 1166.4  
  706.8 H       7.8 11.316 0.043  30442.5 1169.0  
  715.0 H       7.8 11.287 0.043  31283.9 1201.8  
  723.0 H       7.8 11.328 0.043  30105.1 1156.5  
  743.0 H       7.8 11.483 0.043  26097.6 1003.7  
  751.3 H       7.8 11.498 0.043  25744.3  991.2  
  759.2 H       7.8 11.481 0.043  26150.5 1009.3  
  779.3 H       7.8 11.503 0.043  25635.4  989.0  
  787.5 H       7.8 11.574 0.043  24008.3  928.3  
  795.5 H       7.8 11.597 0.043  23511.5  910.3  
  815.5 H       7.8 11.646 0.043  22469.8  876.0  
  823.8 H       7.8 11.697 0.043  21432.9  830.2  
  831.7 H       7.8 11.667 0.043  22035.4  856.0  
  851.7 H       7.8 11.662 0.043  22143.2  858.5  
  860.0 H       7.8 11.688 0.043  21617.2  837.3  
  867.9 H       7.8 11.695 0.043  21474.4  834.2  
  888.0 H       7.8 11.807 0.044  19376.7  761.3  
