2008 Mar 20.1748		0.9173	120			r		20.01	0.12	1.2mMercator
2008 Mar 20.1766		0.9191	120			r		19.91	0.10	1.2mMercator
2008 Mar 20.1784		0.9208	120			r		20.08	0.09	1.2mMercator
2008 Mar 20.1801		0.9226	120			r		19.71	0.07	1.2mMercator
2008 Mar 20.1819		0.9244	120			r		19.87	0.09	1.2mMercator
2008 Mar 20.1837		0.9261	120			r		19.83	0.07	1.2mMercator
2008 Mar 20.1854		0.9279	120			r		19.84	0.09	1.2mMercator
2008 Mar 21.8618		2.6029	5760		I		21.22	0.15	1.5mAZT-22
2008 Mar 21.8781		2.6192	5610		R		21.81	0.26	1.5mAZT-22
2008 Apr 07.0086		18.7479	7200		R		>23.6			1.5mAZT-22
2008 Mar 19.9179		0.6590	3×600		R		19.66	0.09 	2.0mIGO
2008 Mar 27.9511		8.6524	28×120		R		>23.0			2.5mNOT 
